activation_probability,mfrr_capacity_price_multiplier,stacked_total_value_eur,fcr_only_total_value_eur,delta_vs_fcr_only_eur,is_mfrr_worthwhile,stacked_local_savings_eur,stacked_local_savings_pct,stacked_fcr_revenue_eur,stacked_mfrr_capacity_revenue_eur,stacked_expected_mfrr_activation_revenue_eur,stacked_min_soc_mwh,stacked_max_soc_mwh,stacked_constraint_violation_count,stacked_savings_floor_pass,annualized_delta_eur,upfront_enablement_cost_eur,annual_operating_cost_eur,risk_buffer_eur,operating_days,confidence_factor,effective_operating_days,fixed_cost_burden_eur_per_day,target_payback_years,required_daily_delta_for_target_payback_eur,annual_net_incremental_value_eur,payback_years,payback_gap_to_target_eur_per_day
0.0,0.5,520.6433565153417,512.4558565153417,8.1875,true,319.14509143645364,0.15501395163707685,193.31076507888804,8.1875,0.0,0.2,1.8,0,true,1965.0,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-5035.0,,-41.8125
0.0,0.75,524.7371065153417,512.4558565153417,12.28125,true,319.14509143645364,0.15501395163707685,193.31076507888804,12.28125,0.0,0.2,1.8,0,true,2947.5,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-4052.5,,-37.71875
0.0,1.0,528.8308565153417,512.4558565153417,16.375,true,319.14509143645364,0.15501395163707685,193.31076507888804,16.375,0.0,0.2,1.8,0,true,3930.0,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-3070.0,,-33.625
0.0,1.25,532.9246065153417,512.4558565153417,20.46875,true,319.14509143645364,0.15501395163707685,193.31076507888804,20.46875,0.0,0.2,1.8,0,true,4912.5,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-2087.5,,-29.53125
0.0,1.5,537.0183565153417,512.4558565153417,24.5625,true,319.14509143645364,0.15501395163707685,193.31076507888804,24.5625,0.0,0.2,1.8,0,true,5895.0,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-1105.0,,-25.4375
0.0,1.75,541.867314848675,512.4558565153417,29.41145833333337,true,319.14509143645364,0.15501395163707685,187.94097341222138,34.78125,0.0,0.2,1.8,0,true,7058.750000000009,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,58.750000000009095,425.5319148935511,-20.58854166666663
0.0,2.0,547.2272186948289,512.4558565153417,34.771362179487255,true,319.14509143645364,0.15501395163707685,172.28212725837525,55.8,0.0,0.2,1.8,0,true,8345.126923076941,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,1345.1269230769412,18.5856067342799,-15.228637820512745
0.05,0.5,493.96156912913455,512.4558565153417,-18.494287386207134,false,292.96489060542854,0.14229780310662843,193.41528049739023,7.4375,0.14389802631578946,0.2,1.7736842105263158,0,true,-4438.628972689712,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-11438.628972689712,,-68.49428738620713
0.05,0.75,497.68031912913455,512.4558565153417,-14.775537386207134,false,292.96489060542854,0.14229780310662843,193.41528049739023,11.15625,0.14389802631578946,0.2,1.7736842105263158,0,true,-3546.128972689712,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-10546.128972689712,,-64.77553738620713
0.05,1.0,501.39906912913455,512.4558565153417,-11.056787386207134,false,292.96489060542854,0.14229780310662843,193.41528049739023,14.875,0.14389802631578946,0.2,1.7736842105263158,0,true,-2653.628972689712,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-9653.628972689712,,-61.056787386207134
0.05,1.25,505.11781912913455,512.4558565153417,-7.338037386207134,false,292.96489060542854,0.14229780310662843,193.41528049739023,18.59375,0.14389802631578946,0.2,1.7736842105263158,0,true,-1761.128972689712,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-8761.128972689712,,-57.338037386207134
0.05,1.5,508.83656912913455,512.4558565153417,-3.6192873862071337,false,292.96489060542854,0.14229780310662843,193.41528049739023,22.3125,0.14389802631578946,0.2,1.7736842105263158,0,true,-868.6289726897121,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-7868.628972689712,,-53.619287386207134
0.05,1.75,512.2634706757642,512.4558565153417,-0.1923858395774687,false,291.91783381872483,0.14178923062830887,188.04548883072357,32.15625,0.14389802631578946,0.2,1.7736842105263158,0,true,-46.172601498592485,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-7046.1726014985925,,-50.19238583957747
0.05,2.0,514.5747595634691,512.4558565153417,2.118903048127436,true,289.24421886027585,0.14049061244182895,172.38664267687744,52.8,0.14389802631578946,0.2,1.7736842105263158,0,true,508.5367315505846,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-6491.463268449415,,-47.881096951872564
